Roll,Name,Description
1,Premium Bedroll,"During downtime, you automatically clear a Stress."
2,Piper Whistle,"This handcrafted whistle has a distinctive sound. When you blow this whistle, its piercing tone can be heard within a 1-mile radius."
3,Charging Quiver,"When you succeed on an attack with an arrow stored in this quiver, gain a bonus to the damage roll equal to your current tier."
4,Alistair’s Torch,"You can light this magic torch at will. The flame’s light fills a much larger space than it should, enough to illuminate a cave bright as day."
5,Speaking Orbs,This pair of orbs allows any creatures holding them to communicate with each other across any distance.
6,Manacles,This pair of locking cuffs comes with a key.
7,Arcane Cloak,"A creature with a Spellcast trait wearing this cloak can adjust its color, texture, and size at will."
8,Woven Net,You can make a Finesse Roll using this net to trap a small creature. A trapped target can break free with a successful Attack Roll (16).
9,Fire Jar,You can pour out the strange liquid contents of this jar to instantly produce fire. The contents regenerate when you take a long rest.
10,Suspended Rod,"This flat rod is inscribed with runes. When you activate the rod, it is immediately suspended in place. Until the rod is deactivated, it can’t move, doesn’t abide by the rules of gravity, and remains in place."
11,Glamour Stone,Activate this pebble-sized stone to memorize the appearance of someone you can see. Spend a Hope to magically recreate this guise on yourself as an illusion.
12,Empty Chest,"This magical chest appears empty. When you speak a specific trigger word or action and open the chest, you can see the items stored within it."
13,Companion Case,"This case can fit a small animal companion. While the companion is inside, the animal and case are immune to all damage and harmful effects."
14,Piercing Arrows,"Three times per rest when you succeed on an attack with one of these arrows, you can add your Proficiency to the damage roll."
15,Valorstone,"You can attach this stone to armor that doesn’t already have a feature. The armor gains the following feature. **Resilient:** Before you mark your last Armor Slot, roll a d6. On a result of 6, reduce the severity by one threshold without marking an Armor Slot."
16,Skeleton Key,"When you use this key to open a locked door, you gain advantage on the Finesse Roll."
17,Arcane Prism,"Position this prism in a location of your choosing and activate it. All allies within Close range of it gain a +1 bonus to their Spellcast Rolls. While activated, the prism can’t be moved. Once the prism is deactivated, it can’t be activated again until your next long rest."
18,Minor Stamina Potion Recipe,"As a downtime move, you can use the bone of a creature to craft a Minor Stamina Potion."
19,Minor Health Potion Recipe,"As a downtime move, you can use a vial of blood to craft a Minor Health Potion."
20,Homing Compasses,These two compasses point toward each other no matter how far apart they are.
21,Corrector Sprite,"This tiny sprite sits in the curve of your ear canal and whispers helpful advice during combat. Once per short rest, you can gain advantage on an attack roll."
22,Gecko Gloves,You can climb up vertical surfaces and across ceilings.
23,Lorekeeper,You can store the name and details of up to three hostile creatures inside this book. You gain a +1 bonus to action rolls against those creatures.
24,Vial of Darksmoke Recipe,"As a downtime move, you can mark a Stress to craft a Vial of Darksmoke."
25,Bloodstone,"You can attach this stone to a weapon that doesn’t already have a feature. The weapon gains the following feature. ***Brutal:*** When you roll the maximum value on a damage die, roll an additional damage die."
26,Greatstone,"You can attach this stone to a weapon that doesn’t already have a feature. The weapon gains the following feature. ***Powerful:*** On a successful attack, roll an additional damage die and discard the lowest result."
27,Glider,"While falling, you can mark a Stress to deploy this small parachute and glide safely to the ground."
28,Ring of Silence,Spend a Hope to activate this ring. Your footsteps are silent until your next rest.
29,Calming Pendant,"When you would mark your last Stress, roll a d6. On a result of 5 or higher, don’t mark it."
30,Dual Flask,This flask can hold two different liquids. You can swap between them by flipping a small switch on the flask’s side.
31,Bag of Ficklesand,"You can convince this small bag of sand to be much heavier or lighter with a successful Presence Roll (10). Additionally, on a successful Finesse Roll (10), you can blow a bit of sand into a target’s face to make them temporarily **Vulnerable**."
32,Ring of Resistance,"Once per long rest, you can activate this ring after a successful attack against you to halve the damage."
33,Phoenix Feather,"If you have at least one Phoenix Feather on you when you fall unconscious, you gain a +1 bonus to the roll you make to determine whether you gain a scar."
34,Box of Many Goods,"Once per long rest, you can open this small box and roll a d12. On a result of 1–6, it’s empty. On a result of 7–10, it contains one random common consumable. On a result of 11–12, it contains two random common consumables."
